Client,ROLE,MASTER_ROLE,DESC
900,ZSG_MM_TO.PRO_226,ZSG_MM_TO.PRO_XXX,MEAP Transport Order (ITSS/1812)
900,ZSG_MM_TO.PRO_229,ZSG_MM_TO.PRO_XXX,MEAP Transport Order (TS/1813)
900,ZSG_MM_TO.PRO_232,ZSG_MM_TO.PRO_XXX,MEAP Transport Order (LEVI/1803)
900,ZSG_MM_TO.PRO_XXX,,MEAP Transport Order
900,ZSG_SD_BL.CANCEL_202,ZSG_SD_BL.CANCEL_XXX,MEAP Cancel Billing Document (APC/1810)
900,ZSG_SD_BL.CANCEL_203,ZSG_SD_BL.CANCEL_XXX,MEAP Cancel Billing Document (Power Semicon/1808)
900,ZSG_SD_BL.CANCEL_205,ZSG_SD_BL.CANCEL_XXX,MEAP Cancel Billing Document (VISM/1803)
900,ZSG_SD_BL.CANCEL_206,ZSG_SD_BL.CANCEL_XXX,MEAP Cancel Billing Document (VISV/1803)
900,ZSG_SD_BL.CANCEL_208,ZSG_SD_BL.CANCEL_XXX,MEAP Cancel Billing Document (LEAC/1801)
900,ZSG_SD_BL.CANCEL_209,ZSG_SD_BL.CANCEL_XXX,MEAP Cancel Billing Document (LERM/1811)
900,ZSG_SD_BL.CANCEL_210,ZSG_SD_BL.CANCEL_XXX,MEAP Cancel Billing Document (LEHE/1801)
900,ZSG_SD_BL.CANCEL_213,ZSG_SD_BL.CANCEL_XXX,MEAP Cancel Billing Document (PVSM/1802)
900,ZSG_SD_BL.CANCEL_214,ZSG_SD_BL.CANCEL_XXX,MEAP Cancel Billing Document (PVPS/1802)
900,ZSG_SD_BL.CANCEL_215,ZSG_SD_BL.CANCEL_XXX,MEAP Cancel Billing Document (JTSM/1802)
900,ZSG_SD_BL.CANCEL_218,ZSG_SD_BL.CANCEL_XXX,MEAP Cancel Billing Document (Industrial Automation Sales/1806)
900,ZSG_SD_BL.CANCEL_219,ZSG_SD_BL.CANCEL_XXX,MEAP Cancel Billing Document (Industrial Automation Solutions/1806)
900,ZSG_SD_BL.CANCEL_220,ZSG_SD_BL.CANCEL_XXX,MEAP Cancel Billing Document (Industrial Automation Solutions/1806)
900,ZSG_SD_BL.CANCEL_221,ZSG_SD_BL.CANCEL_XXX,MEAP Cancel Billing Document (CNC Sales & Marketing/1805)
900,ZSG_SD_BL.CANCEL_222,ZSG_SD_BL.CANCEL_XXX,MEAP Cancel Billing Document (CNC Service/1805)
